tcp.stream,ip.src,tcp.srcport,ip.dst,tcp.dstport,frame.time,tcp.len
9,192.168.4.2,5056,192.168.1.143,50424,Jan 21, 2026 14:30:05.713681000 CST,524
9,192.168.1.143,50424,192.168.4.2,5056,Jan 21, 2026 14:30:05.812353000 CST,16
9,192.168.4.2,5056,192.168.1.143,50424,Jan 21, 2026 14:30:05.812707000 CST,0
9,192.168.1.143,50424,192.168.4.2,5056,Jan 21, 2026 14:30:05.818894000 CST,0
9,192.168.4.2,5056,192.168.1.143,50424,Jan 21, 2026 14:30:05.818990000 CST,0
9,192.168.1.143,50424,192.168.4.2,5056,Jan 21, 2026 14:30:05.909710000 CST,0
9,192.168.1.143,50424,192.168.4.2,5056,Jan 21, 2026 14:30:05.915415000 CST,0
9,192.168.1.143,50424,192.168.4.2,5056,Jan 21, 2026 14:30:05.920942000 CST,0
10,192.168.1.143,50425,192.168.4.2,5056,Jan 21, 2026 14:30:06.111930000 CST,0
10,192.168.4.2,5056,192.168.1.143,50425,Jan 21, 2026 14:30:06.112224000 CST,0
10,192.168.1.143,50425,192.168.4.2,5056,Jan 21, 2026 14:30:06.210217000 CST,0
10,192.168.4.2,5056,192.168.1.143,50425,Jan 21, 2026 14:30:06.210683000 CST,524
10,192.168.1.143,50425,192.168.4.2,5056,Jan 21, 2026 14:30:06.309768000 CST,16
10,192.168.4.2,5056,192.168.1.143,50425,Jan 21, 2026 14:30:06.310222000 CST,0
10,192.168.1.143,50425,192.168.4.2,5056,Jan 21, 2026 14:30:06.314950000 CST,0
10,192.168.4.2,5056,192.168.1.143,50425,Jan 21, 2026 14:30:06.315048000 CST,0
10,192.168.1.143,50425,192.168.4.2,5056,Jan 21, 2026 14:30:06.406831000 CST,0
10,192.168.1.143,50425,192.168.4.2,5056,Jan 21, 2026 14:30:06.414029000 CST,0
10,192.168.1.143,50425,192.168.4.2,5056,Jan 21, 2026 14:30:06.419306000 CST,0
11,192.168.1.143,50426,192.168.4.2,5056,Jan 21, 2026 14:30:06.611512000 CST,0
11,192.168.4.2,5056,192.168.1.143,50426,Jan 21, 2026 14:30:06.611813000 CST,0
11,192.168.1.143,50426,192.168.4.2,5056,Jan 21, 2026 14:30:06.710333000 CST,0
11,192.168.4.2,5056,192.168.1.143,50426,Jan 21, 2026 14:30:06.710640000 CST,524
