tcp.stream,ip.src,tcp.srcport,ip.dst,tcp.dstport,frame.time,tcp.len
10,192.168.1.143,50455,192.168.4.2,5056,Jan 21, 2026 14:49:40.099554000 CST,0
10,192.168.1.143,50455,192.168.4.2,5056,Jan 21, 2026 14:49:40.104578000 CST,0
11,192.168.1.143,50456,192.168.4.2,5056,Jan 21, 2026 14:49:40.315922000 CST,0
11,192.168.4.2,5056,192.168.1.143,50456,Jan 21, 2026 14:49:40.316015000 CST,0
11,192.168.1.143,50456,192.168.4.2,5056,Jan 21, 2026 14:49:40.414718000 CST,0
11,192.168.4.2,5056,192.168.1.143,50456,Jan 21, 2026 14:49:40.415381000 CST,524
11,192.168.1.143,50456,192.168.4.2,5056,Jan 21, 2026 14:49:40.514021000 CST,16
11,192.168.4.2,5056,192.168.1.143,50456,Jan 21, 2026 14:49:40.514261000 CST,0
11,192.168.1.143,50456,192.168.4.2,5056,Jan 21, 2026 14:49:40.519217000 CST,0
11,192.168.4.2,5056,192.168.1.143,50456,Jan 21, 2026 14:49:40.519262000 CST,0
11,192.168.1.143,50456,192.168.4.2,5056,Jan 21, 2026 14:49:40.614403000 CST,0
11,192.168.1.143,50456,192.168.4.2,5056,Jan 21, 2026 14:49:40.614403000 CST,0
11,192.168.1.143,50456,192.168.4.2,5056,Jan 21, 2026 14:49:40.620004000 CST,0
0,192.168.4.2,44553,192.168.1.143,2113,Jan 21, 2026 14:49:42.024857000 CST,5
0,192.168.1.143,2113,192.168.4.2,44553,Jan 21, 2026 14:49:42.350844000 CST,0
0,192.168.1.143,2113,192.168.4.2,44553,Jan 21, 2026 14:49:42.803989000 CST,0
12,192.168.4.2,60791,192.168.1.143,2113,Jan 21, 2026 14:49:43.006604000 CST,0
12,192.168.1.143,2113,192.168.4.2,60791,Jan 21, 2026 14:49:43.105331000 CST,0
12,192.168.4.2,60791,192.168.1.143,2113,Jan 21, 2026 14:49:43.105464000 CST,0
12,192.168.1.143,2113,192.168.4.2,60791,Jan 21, 2026 14:49:43.476196000 CST,0
13,192.168.4.2,60792,192.168.1.143,2113,Jan 21, 2026 14:49:43.690435000 CST,0
