tcp.stream,ip.src,tcp.srcport,ip.dst,tcp.dstport,frame.time,tcp.len
27,192.168.4.2,5056,192.168.1.143,50331,Jan 20, 2026 15:48:38.883470000 CST,0
27,192.168.1.143,50331,192.168.4.2,5056,Jan 20, 2026 15:48:38.977486000 CST,0
27,192.168.1.143,50331,192.168.4.2,5056,Jan 20, 2026 15:48:38.981875000 CST,0
27,192.168.1.143,50331,192.168.4.2,5056,Jan 20, 2026 15:48:38.981875000 CST,0
28,192.168.1.143,50332,192.168.4.2,5056,Jan 20, 2026 15:48:39.199264000 CST,0
28,192.168.4.2,5056,192.168.1.143,50332,Jan 20, 2026 15:48:39.199529000 CST,0
28,192.168.1.143,50332,192.168.4.2,5056,Jan 20, 2026 15:48:39.298465000 CST,0
28,192.168.4.2,5056,192.168.1.143,50332,Jan 20, 2026 15:48:39.299127000 CST,524
28,192.168.1.143,50332,192.168.4.2,5056,Jan 20, 2026 15:48:39.398484000 CST,16
28,192.168.4.2,5056,192.168.1.143,50332,Jan 20, 2026 15:48:39.398811000 CST,0
28,192.168.1.143,50332,192.168.4.2,5056,Jan 20, 2026 15:48:39.403594000 CST,0
28,192.168.4.2,5056,192.168.1.143,50332,Jan 20, 2026 15:48:39.403723000 CST,0
28,192.168.1.143,50332,192.168.4.2,5056,Jan 20, 2026 15:48:39.499713000 CST,0
28,192.168.1.143,50332,192.168.4.2,5056,Jan 20, 2026 15:48:39.502749000 CST,0
28,192.168.1.143,50332,192.168.4.2,5056,Jan 20, 2026 15:48:39.502749000 CST,0
29,192.168.1.143,50333,192.168.4.2,5056,Jan 20, 2026 15:48:39.697290000 CST,0
29,192.168.4.2,5056,192.168.1.143,50333,Jan 20, 2026 15:48:39.697576000 CST,0
29,192.168.1.143,50333,192.168.4.2,5056,Jan 20, 2026 15:48:39.802245000 CST,0
29,192.168.4.2,5056,192.168.1.143,50333,Jan 20, 2026 15:48:39.802577000 CST,524
29,192.168.1.143,50333,192.168.4.2,5056,Jan 20, 2026 15:48:39.901410000 CST,16
29,192.168.4.2,5056,192.168.1.143,50333,Jan 20, 2026 15:48:39.901763000 CST,0
29,192.168.1.143,50333,192.168.4.2,5056,Jan 20, 2026 15:48:39.906350000 CST,0
29,192.168.4.2,5056,192.168.1.143,50333,Jan 20, 2026 15:48:39.906441000 CST,0
29,192.168.1.143,50333,192.168.4.2,5056,Jan 20, 2026 15:48:40.000689000 CST,0
29,192.168.1.143,50333,192.168.4.2,5056,Jan 20, 2026 15:48:40.006907000 CST,0
29,192.168.1.143,50333,192.168.4.2,5056,Jan 20, 2026 15:48:40.006907000 CST,0
30,192.168.1.143,50334,192.168.4.2,5056,Jan 20, 2026 15:48:40.198890000 CST,0
30,192.168.4.2,5056,192.168.1.143,50334,Jan 20, 2026 15:48:40.199150000 CST,0
30,192.168.1.143,50334,192.168.4.2,5056,Jan 20, 2026 15:48:40.309866000 CST,0
30,192.168.4.2,5056,192.168.1.143,50334,Jan 20, 2026 15:48:40.310279000 CST,524
30,192.168.1.143,50334,192.168.4.2,5056,Jan 20, 2026 15:48:40.408099000 CST,16
30,192.168.4.2,5056,192.168.1.143,50334,Jan 20, 2026 15:48:40.408361000 CST,0
30,192.168.1.143,50334,192.168.4.2,5056,Jan 20, 2026 15:48:40.413939000 CST,0
30,192.168.4.2,5056,192.168.1.143,50334,Jan 20, 2026 15:48:40.414093000 CST,0
30,192.168.1.143,50334,192.168.4.2,5056,Jan 20, 2026 15:48:40.505935000 CST,0
30,192.168.1.143,50334,192.168.4.2,5056,Jan 20, 2026 15:48:40.510856000 CST,0
30,192.168.1.143,50334,192.168.4.2,5056,Jan 20, 2026 15:48:40.517499000 CST,0
31,192.168.1.143,50335,192.168.4.2,5056,Jan 20, 2026 15:48:40.725088000 CST,0
31,192.168.4.2,5056,192.168.1.143,50335,Jan 20, 2026 15:48:40.725194000 CST,0
31,192.168.1.143,50335,192.168.4.2,5056,Jan 20, 2026 15:48:40.823247000 CST,0
31,192.168.4.2,5056,192.168.1.143,50335,Jan 20, 2026 15:48:40.823626000 CST,524
31,192.168.1.143,50335,192.168.4.2,5056,Jan 20, 2026 15:48:40.923092000 CST,16
31,192.168.4.2,5056,192.168.1.143,50335,Jan 20, 2026 15:48:40.923273000 CST,0
31,192.168.1.143,50335,192.168.4.2,5056,Jan 20, 2026 15:48:40.928007000 CST,0
31,192.168.4.2,5056,192.168.1.143,50335,Jan 20, 2026 15:48:40.928059000 CST,0
31,192.168.1.143,50335,192.168.4.2,5056,Jan 20, 2026 15:48:41.020580000 CST,0
31,192.168.1.143,50335,192.168.4.2,5056,Jan 20, 2026 15:48:41.027185000 CST,0
31,192.168.1.143,50335,192.168.4.2,5056,Jan 20, 2026 15:48:41.027185000 CST,0
32,192.168.1.143,50336,192.168.4.2,5056,Jan 20, 2026 15:48:41.238839000 CST,0
32,192.168.4.2,5056,192.168.1.143,50336,Jan 20, 2026 15:48:41.238989000 CST,0
32,192.168.1.143,50336,192.168.4.2,5056,Jan 20, 2026 15:48:41.336200000 CST,0
32,192.168.4.2,5056,192.168.1.143,50336,Jan 20, 2026 15:48:41.336974000 CST,524
32,192.168.1.143,50336,192.168.4.2,5056,Jan 20, 2026 15:48:41.433631000 CST,16
32,192.168.4.2,5056,192.168.1.143,50336,Jan 20, 2026 15:48:41.433795000 CST,0
32,192.168.1.143,50336,192.168.4.2,5056,Jan 20, 2026 15:48:41.440169000 CST,0
32,192.168.4.2,5056,192.168.1.143,50336,Jan 20, 2026 15:48:41.440211000 CST,0
32,192.168.1.143,50336,192.168.4.2,5056,Jan 20, 2026 15:48:41.531709000 CST,0
32,192.168.1.143,50336,192.168.4.2,5056,Jan 20, 2026 15:48:41.537041000 CST,0
32,192.168.1.143,50336,192.168.4.2,5056,Jan 20, 2026 15:48:41.541862000 CST,0
33,192.168.1.143,50337,192.168.4.2,5056,Jan 20, 2026 15:48:41.745369000 CST,0
33,192.168.4.2,5056,192.168.1.143,50337,Jan 20, 2026 15:48:41.745519000 CST,0
